2017-01-05 02:50:23 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:50:37 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:50:37 => UserID : 34338 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:51:11 => UserID : 34338 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:51:11 => UserID : 34338 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:51:12 => UserID : 34338 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:52:38 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:52:38 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:52:38 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:52:45 => UserID : 34338 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:52:45 => UserID : 34338 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:52:45 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:52:52 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:52:52 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:52:52 => UserID : 34338 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
